전통주명,도수,규격,주원료,제조사
무주구천동머루와인,12,750ml,머루,덕유양조
그랑꼬또 M56,12,750ml,포도,그린영농조합
그랑꼬또 로제와인,12,750ml,포도,그린영농조합
그랑꼬또 청수,12,750ml,포도,그린영농조합
오미로제 스파클링 와인,12,750ml,국내산 오미자,문경주조
그랑꼬또 레드와인,12,"750ml, 375ml",국내산 포도(캠벨얼리),그린영농조합
자두와인,12,750ml,국내산 자두,자두사랑
머루드서,12,300ml,국내산 산머루 100%,산머루농원영농조합법인
너와머루와인,12,"500ml, 700ml",국내산 산머루 100%,산머루농원영농조합법인
샤토미소 로제스위트와인,12,375ml,국내산 포도원액,도란원
머루이야기,12,350ml,국내산 머루(전북 무주),산들벗(주0
하얀연꽃 백련맑은 술,12,"375ml, 750ml","국내산 쌀, 백련잎",신평양조장
오미시앙 스페셜,12,500ml,"오미자, 주정, 설탕, 효모",알에프
오미로제 프리미어와인,12,750ml,오미자(문경산),농업회사법인(주)제이엘
오가피와인,12,500ml,"오가피 열매(국내산), 백설탕, 효모, 메타중아황산칼륨",영농조합법인 금이산농원
예밀와인 로제,12,750ml,포도(캠벨얼리),예밀2리영농조합법인
예밀와인 레드 스위트,12,750ml,포도(캠벨얼리),예밀2리영농조합법인
여포의 꿈 레드(SWEET),12,750ml,국내산 포도 100%,여포와인농장
여포의 꿈 레드(Dry),12,750ml,국내산 포도 100%,여포와인농장
시나브로 레드 스위트,12,750ml,포도(캠벨얼리),불휘농장
시나브로 드 글로리아,12,750ml,포도(캠벨얼리),불휘농장
사과와인,12,500ml,"사과(국내산), 백설탕, 효모, 메타중아황산칼륨",금이산농원
블루베리 이야기,12,375ml,"국내산 산머루 50%, 블루베리 50%",농업회사법인산들벗(주)
복숭아와인,12,500ml,"복숭아(국내산), 백설탕, 효모, 메타중아황산칼륨",금이산농원
미소 아이스,12,375ml,"포도, 산화방지제, 효모",도란원
베베마루 캠밸로제,12,375ml,포도(캠벨얼리),월류원
머루드 서 스위트,12,750ml,국내산 산머루,산머루농원
마셔블랑,12,750ml,"감귤과즙, 백설탕, 액상효모, 무수아황산",시트러스
도로시 머루주,12,500ml,"국내산 산머루원액 78.5%, 주정",산머루농원영농조합법인
대잎술,12,300ml,"쌀, 누룩, 댓잎, 솔잎, 진피, 갈근, 오미자, 구기자, 죽력 등",추성고을
로제와인,12,550ml,포도(국내산),갈기산포도농원
소백산 스위트 와인,12,750ml,포도(국내산),산내들와인
산머루와인 깊은맛 드라이,12,750ml,산머루,하미앙
오크와인,12,750ml,산머루,
삼양춘 생탁주,12.5,500ml,"강화섬쌀, 전통누룩, 정제수",송도향전통주조
국순당 이화주,12.5,400ml,"이화누룩, 국내산쌀",국순당
금산인삼주 12.5%,12.5,360ml,"국내산쌀 93.5%, 국내산인삼 6.5%",금산인삼주
명인 홍삼주,12.5,375ml,"쌀, 홍삼, 누룩, 정제수 등",금산인삼주
"코이버펑크, 머스캣 베일리 에이 2017",12.5,750ml,머스캣 벨일리 베이 포도품종 100% (경북 영천),코이버펑크
"코이버펑크, 카베르네 소비뇽 2019",12.5,750ml,카베르네 소비뇽 포도품종 100% (경북 영천),코이버펑크
맑은 문희주,13,750ml,"국내산 유기농찹쌀, 국내산 멥쌀, 전통누룩, 정제수",문경주조
동학 1957,13,"375ml, 700ml","국내산 쌀, 구연산, 효모, 젖산, 정제효소제, 국, 주정, 정제수",고헌정영농조합법인
대윤 가야곡 왕주,13,300ml,"쌀, 누룩, 효모, 물엿, 정제수",대윤가야곡주조
감자술 13%,13,700ml,"국내산 백미, 국내산 감자, 누룩, 효모, 정제수",오대서주양조
지리산 강쇠,13,375ml,"정제수, 쌀, 누룩, 오가피, 산수유, 오미자, 정백당 ,구연산, 정제효소, 야관문",농업회사법인(유)술소리
라이스퐁당,13,500ml,"정제수, 찹쌀, 누룩, 삼지구엽초, 감초",벗드림양조장
술예쁘다 생탁주,13,500ml,"국내산 쌀, 누룩",좋은술
백운복분자주,13,360ml,"국내산 쌀, 국내산 복분자",백운주가
세종대왕어주 탁주,13,500ml,"쌀(국내산), 누룩, 정제수",장희
세종 오가닉,13,375ml,"정제수, 유기농 백미, 국, 효모, 정제효소, 구연산",조은술 세종
모을동주 약주,13,375ml,"쌀(국내산), 조제종국 효모, 정제효소, 정제수",대작영농조합법인
솔송주,13,375ml,"백미(국내산) 90%, 솔잎·송순(국내산) 10%",솔송주
김포예주,13,750ml,"국내산 쌀, 옥전분",김포양조
황진이주,13,375ml,"국내산 오미자, 국내산 산수유",농업회사법인(유)술소리
만품 산삼가득,13,350ml,"국내산쌀(경기미), 국내 산양산삼",대농바이오우리산삼
민들레대포,13,330ml,"쌀, 누룩, 민들레",배상면주가
가야곡왕주,13,750ml,"쌀, 야생 국화, 구기자, 오미자, 솔잎, 매실",민속주왕주
오메기술,13,375ml,"백미(국내산), 차조(국내산), 입국(국내산), 누룩, 효모",제주샘주
모월 연,13,500ml,"국내산 쌀, 밀누룩(국산)",모월
백세주,13,375ml,"설갱미, 전통누룩, 구기자, 오미자, 홍삼, 산수유, 진피, 백문동, 백수오, 산사, 건강, 고수, 감초, 수국",국순당
석로주,13,720ml,"국내산 쌀, 석이버섯, 누룩, 효모, 정제수",석이원주조
김포별주,13,500ml,"쌀, 옥수수 전분, 국, 효모, 젖산, 효소제, 정제수",김포양조
김포예주 프리미엄,13,750ml,"국내산 쌀, 국, 효모, 젖산, 정제수",김포양조
송이주,13,375ml,"국내산 쌀, 송이농축액, 누룩, 정제수",내국양조
능이주,13,375ml,"국내산 쌀, 능이농축액, 누룩, 정제수",내국양조
우곡주,13,375ml,쌀,배혜정도가
문희 탁주,13,700ml,국내산 쌀,문경주조
예화,13,750ml,"쌀, 누룩, 효모, 물엿, 정제수",농업회사법인 대윤가야곡주조(주)
샤토미소 레드 드라이,13,750ml,"MBA, 산머루, 캠벨 얼리",도란원
고창선운산 땡큐블루베리주,13,300ml,"블루베리과실, 주정, 효모, 구연산, 정제수",고창선운산
고창선운산 땡큐복분자주,13,300ml,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산
부안참뽕와인,13,750ml,"정제수, 오디(국내산), 주정, 과당",동진주조
레드듀 RED DEW,13,750ml,무농약머루,동강산머루영농조합법인
명작복분자,13,375ml,복분자,국순당고창명주(주0
산막생대덕주,13,750ml,"국내산 찹쌀, 누룩",신탄진주조
천안연미주,13,375ml,국내산 쌀,입장주조㈜
오디랑,13,330ml,"오디(국산) 18.2%, 정제수, 과당, 주정, 구연산, 효모",국순당 고창명주
예밀와인 레드 드라이,13,750ml,포도(캠벨얼리),예밀2리영농조합법인
선운산 복분자와인,13,300ml,"복분자(고창산), 구연산, 과당, 아스파탐, 주정, 정제수",(주)선운산복분자주 흥진
샹스프랑보아즈,13,500ml,"복분자(고창산), 구연산, 과당, 구연산, 아스파탐, 주정, 정제수",(주)선운산복분자주 흥진
젤코바 캠벨와인,13.5,750ml,"유기농 캠벨포도, 유기농 설탕",젤코바와이너리
밤꽃향기,13.5,375ml,"국내산 쌀, 밤, 누룩, 정제수",사곡양조장
머루드 서 드라이,13.5,750ml,국내산 산머루,산머루농원
구기홍주 14,14,"360ml, 750ml","국내산 쌀, 국, 구기자추출액, 올리고당, 효모, 효소, 아세설팜칼륨, 정제수",두이술공방
그리움,14,700ml,"국내산 쌀, 누룩, 효모, 정제수",술샘
천비향 오양주 탁주,14,500ml,"국내산쌀, 누룩",좋은술
조선주조사,14,"300ml, 700ml","쌀(국내산), 입국, 누룩, 주정, 정제수",농업회사법인 우포의아침(주)
홍삼명주,14,"375ml, 500ml, 750ml",홍삼(국내산),자연과 인삼
율무 동동주,14,750ml,"쌀(국내산), 누룩, 효모, 연천 율무, 정제수",농업회사법인 연천양조㈜
매실향기 담은 술,14,500ml,"국내산 쌀, 효모, 조효소재, 물엿, 아스파탐, 정제수",명세주가
남산애 레드와인,14,750ml,"포도(캠벨얼리, MBA, 산머루)",예인화원
유기농이도 14,14,750ml,"물, 유기농쌀(국내산),국[유기농쌀(국내산)], 우리밀누룩(국내산)",조은술 세종
복단지,14,375ml,"쌀(국내산), 복분자(국내산), 누룩(국내산 밀함유)",술아원
양촌 우렁이쌀 청주,14,500ml,"국내산 찹쌀, 국내산쌀, 입국, 효모, 종국",양촌양조
감사블루,14,375ml,"쌀(국내산 경기미 100%), 누룩, 효모, 정제수",술샘
감사,14,375ml,"쌀(국내산 경기미 100%), 누룩, 정제수",술샘
배꽃 필 무렵,14,20ml / 140ml,"맵쌀, 잣잎추출물",예술주조
양지백주,15,500ml,"국내산 쌀, 누룩, 효모, 정제수",양지술곳간
대통대잎술,15,700ml,"쌀, 누룩, 갈근, 구기자, 솔잎, 진피 등",추성고을
녹파주,15,375ml,"국내산 찹쌀, 멥쌀, 누룩, 정제수",솔송주(명가원)
기다림 맑은술,15,500ml,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트
순향주,15,375ml,"쌀, 누룩, 정제수",추연당
희양산 막걸리 15도,15,500ml,"정제수, 쌀(국내산), 누룩(국내산), 효모",두술도가
석탄주 탁주,15,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주
바랑 탁,15,375ml,"국내산 찹쌀, 국내산 멥쌀, 누룩, 소맥분, 정제수",금계당
방문주 탁주,15,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주
원매,15,750ml,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수",더한주류
정고집 나주배 약주 15%,15,500ml,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모",남도탁주
애석,15,500ml,"국내산쌀, 누룩, 정제수",농업회사법인 (주)두루
석탄주 약주,15,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주(전주가양주연구소)
모든날에,15,500ml,"정제수48.8%, 찹쌀(국내산, 39%), 멥쌀(국내산, 7.8%), 밀누룩4.4%",양지술곳간
보성 강하주,15,350ml,국내산 찹쌀100%,보성강하주
자희향 국화주,15,375ml,국내산 쌀,자희자양
방문주 약주,15,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주
맑은술 해밀,15,500ml,"쌀, 누룩, 정제수",내변산양조장
맑은바당,15,375ml,"쌀(국내산), 국(밀누룩)",술도가 제주바당
풍정사계 춘(春),15,500ml,"찹쌀, 향온곡",화양
삼양춘 청주,15,500ml,"정제수, 찹쌀, 맵쌀, 누룩",삼양춘
세종대왕어주 약주,15,500ml,"쌀, 누룩 정제수",
술아 국화주,15,375ml,"국내산 찹쌀, 누룩, 건조국화꽃, 증류주, 정제수",술아원
술아 연화주,15,375ml,"국내산 찹쌀, 누룩, 건조연화꽃, 증류주, 정제수",술아원
술아 매화주,15,375ml,"국내산 찹쌀, 누룩, 건조매화꽃, 증류주, 정제수",
김포특주,15,375ml,"국내산 쌀, 효모, 정제효소,정제수, 프락토올리고당",김포금쌀탁주영농조합법인
삼양춘 생약주,15,500ml,"강화섬쌀, 전통누룩, 정제수",삼양춘
미인약주,15,500ml,"찹쌀, 누룩, 정제수",최행숙전통주가
공주애 오디와인,15,375ml,"국내산 오디, 정제수, 주정, 과당, 효모",사곡양조원
도원결의,15,375ml,"정제수, 쌀, 복숭아, 조효소제, 효모, 젖산, 정제효소제, 효소처리스테비아, 구연산, 복숭아향",농업회사법인영덕주조
고창선운산 복분자주 특1호,15,1800ml,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산
예주,15,750ml,"복분자, 주정, 효모, 정제수",용두산조은술
당당하리,15,375ml,"쌀(국산), 홍마늘(국산), 감초(국산), 효모, 개량누룩, 정제효소제, 정제수, 복분자(국산), 설탕, 올리고당, DL-사과산, 구연산, 무수이황산",농업회사법인(주)세찬
마주 소곡주,16,500ml,"국내산 찹쌀, 국내산 백미, 모싯잎, 우리밀 누룩, 정제수, 효모",옥순가 소곡주 마주
여민락주,16,500ml,"국내산 쌀, 누룩, 효모, 정제수",여주육묘영농조합법인
어우야,16,365ml,"야관문(제주산), 정제수, 포도당, 효모",왕지케양조장
산내울 사과애주,16,750ml,"사과, 설탕, 주정, 정제수, 과당",거창사과원예농협
산내울 복분자주,16,750ml,"복분자, 설탕, 주정, 정제수, 과당",거창사과원예농협
르깔롱,16,500ml,"정제수, 주정, 고과당, 죽력, 메론후레바, 레이지라임, 코코넛향, 윌튼스카이아이싱칼라",추성고을
녹고의 눈물,16,500ml,섬오가피,토향
"동백꽃, 제주",16,365ml,"동백꽃잎, 정제수, 포도당 효모",제주본초협동조합 왕지케양조장
꿀샘 16,16,375ml,"정제수, 주정, 설탕, 천연꿀, 생강, 구연산",농업회사법인 주식회사 술샘
티나(TINA),16,750ml,딸기(국내산),추성고을
술샘16,16,375ml,"쌀(국내산), 오미자(국내산), 주정, 정백당",술샘
산내울 오미자주,16,750ml,"오미자, 설탕, 주정, 정제수, 과당",
주몽복분자주,16,375ml,"국내산 쌀, 국내산 복분자",농업회사법인(유)술소리
신선주,16,750ml,"쌀, 능금, 신선초, 천궁, 구기자, 당귀솔잎, 대추, 인삼",용두산조은술
설련주,16,750ml,"백련, 찹쌀, 멥쌀, 누룩",영농조합법인 석전상온전통주가
서주 16%,16,400ml,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수",오대서주양조
경주교동법주,16,900ml,찹쌀(국내산),교동법주
김천과하주 16%,16,700ml,국내산 찹쌀,김천과하주
해남진양주,16,375ml,국내산 찹쌀(해남),해남진양주
모월 청,16,500ml,"쌀(국내산), 누룩, 정제수",모월
내장산 복분자주 지통1호,16,700ml,"복분자, 주정, 정제수, 설탕 등",내장산 복분자 영농조합
동짓달 기나긴 밤,16,500ml,"찹쌀, 맵쌀, 복분자, 전통누룩, 정제수",예술주조
원조소곡주,16,720ml,"찹쌀(36%), 누룩(3%)",원조소곡주
천비향 오양주 약주,16,500ml,"국내산 쌀, 누룩",좋은술
청진주,16,375ml,"찹쌀, 누룩, 정제수",전통주연구개발원
오메기 맑은술,16,500ml,"좁쌀, 햅쌀, 정제수, 누룩",제주고소리술익는집
청양둔송구기주,16,700ml,"쌀, 누룩, 구기자, 감초, 두충껍질",청양둔송구기주
예담은 한산소곡주,16,750ml,"찹쌀, 멥쌀, 누룩, 대두, 구절초",한산예담은소곡주
무주구천동산머루주,16,"750ml, 360ml",머루,
선운산 복분자주,16,375ml,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",(주)선운산복분자주 흥진
복분자주 360,16,360ml,"복분자, 주정, 정제수, 설탕 등",내장산 복분자 영농조합
명가원 복분자술,16,750ml,"복분자(37.65%), 주정, 정제수, 구연산, 호박산, 정제식염, 액상과당, 효모, 설탕",명가원
대관령 복분자주,16,400ml,국내산 복분자,홍지원
경산대추약주 추,16,375ml,"찹쌀, 맵쌀 , 누룩, 대추 (국내산100%)",미송주가
장수 오미자주,16.5,360ml,"오미자(국내산), 정제수, 주정, 설탕, 효모",알에프
밤빛머루,16.9,360ml,무주 머루,농업회사법인 산들벗(주)
느린마을 증류주,16.9,360ml,쌀(국내산),배상면주가
아이엠더문,17,750ml,"사과(국내산), 포도(국내산), 딸기(국내산), 블러드 오렌지, 망고 농축액, 증류식 소주원액",조은술 세종
청명주,17,500ml,국내산 쌀,중원당
하향주,17,750ml,찹쌀,하향주가
지란지교,17,500ml,"찹쌀,멥쌀,전통누룩(밀),정제수",(유)친구들의 술 지란지교
아황주,17,500ml,"찹쌀, 멥쌀, 누룩, 정제수",최행숙전통주가
청명주 750,17,750ml,"찹쌀,누룩,소맥분",중원당
동몽,17,500ml,"홍천 쌀, 정제수, 단호박, 국(밀 누룩)",예술주조
안동소주 일품 17도,17,350ml,"국내산 쌀, 입국",안동소주일품
명랑 스컬,17,375ml,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수",더한주류
별바랑,17.5,375ml,"국내산 찹쌀, 국내산 멥쌀, 누룩, 정제수",금계당
자연송이주,18,720ml,자연송이버섯,솔래원
이상헌 약주,18,500ml,"아산쌀, 국(국내산 밀누룩), 정제수",이가수불
한산소곡주,18,"700ml, 1800ml","찹쌀, 국내산 멥쌀",한산소곡주
청세주,18,375ml,국내산 쌀,병영주조장
노미,18,700ml,"국내산 찹쌀, 국내산 쌀",
면천두견주 900,18,900ml,"국내산 찹쌀, 누룩, 진달래꽃",면천두견주
면천두견주 700,18,700ml,"국내산 찹쌀, 누룩, 진달래꽃",면천두견주
면천두견주 360,18,360ml,"국내산 찹쌀, 누룩, 진달래꽃",면천두견주
사시통음주,18,550ml,"쌀, 누룩, 밀가루",국순당
면천두견주,18,"360ml, 700ml","국내산 찹쌀, 누룩, 국내산 진달래꽃",㈜면천두견주
남산애 포트와인,18.5,750ml,"포도(캠벨얼리, MBA, 산머루)",예인화원
해방주,18.8,375ml,해방풍연한잎(국내산),농업회사법인영덕주조
모리,19,375ml,"정제수, 보리증류원액",강산명주
술샘19,19,375ml,"주정, 증류식소주, 정백당, 생강, 강황(국내산)",술샘
선운산 복분자주 프리미엄,19,700ml,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",(주)선운산복분자주 흥진
느낌 19.8,19.8,360ml,"국내산 백미, 누룩, 효모, 정제수",명품 안동소주
동강더덕주,20,360ml,"더덕, 대추구기자, 감초, 원지",영월더덕영농조합법인
호담 300ml,20,300ml,"산양산삼, 정제수, 주정",대농바이오우리산삼
산삼가득 명술,20,375ml,"국내산 주정, 국내산 산양산삼 5년근",대농바이오우리산삼
원매 프리미엄,20,700ml,국내산 황매실,더한주류
경성과하주,20,375ml,"국내산 찹쌀, 국내산 누룩, 증류원액",
술아 순곡주,20,375ml,"국내산 찹쌀, 누룩, 증류주, 정제수",
원매 프리미엄,20,700ml,매실,더한주류
원매,20,750ml,"매실원주액, 매실청, 꿀, 카라멜, 효소처리스테비아, 정제수",더한주류
계룡산 산삼주 금수강산 21%,21,740ml,"산양산삼, 정제수, 주정",한국산삼
느린마을소주21,21,375ml,"쌀, 정제수, 입국, 조효소제, 건조효모",배상면주가
안동소주 일품 21도,21,350ml,"국내산 쌀, 입국",안동소주일품
진맥소주 22%,22,375ml,유기농 우리밀 100%,농업회사법인 (주)밀과노닐다
이도 22,22,375ml,쌀(국내산),조은술 세종
명인 안동소주 22%,22,360ml,"쌀(국내산), 누룩, 정제수",명인안동소주
연천 우주,22,360ml,"쌀(국내산), 누룩, 효모, 효소, 연천율무, 정제수",농업회사법인 연천양조(주)
혼,22,375ml,문경사과(국내산),오미나라
과하주23,23,"400ml, 700ml, 1000ml",쌀 100%,김천과하주
토끼 소주,23,375ml,"정제수, 찹쌀, 누룩, 효모, 효소제\",농업회사법인 토끼소주㈜
감이슬,23,375ml,국내산 감,양촌감영농조합법인
대장부23,23,375ml,"정제수, 쌀, 효모, 종국, 보리",롯데칠성음료
예천주 사월24,24,375ml,"오미자(국내산)증류원액, 건오미자(국내산)추출액, 정제수",농업회사법인(주)착한농부
미상25,25,350ml,"감귤(제주산)증류주원액, 정제수, 스테비올배당제",시트러스
이강주 2호,25,750ml,"쌀, 소맥분, 정맥, 배, 생강, 계피, 울금, 꿀",전주 이강주
서울의 밤,25,375ml,"매실증류주원액, 벌꿀, 포도당, 노간주나무열매, 정제수",더한주류
진쾌남,25,330ml,"국내산 쌀, 밤, 누룩, 구기자, 오미자, 산수유, 오가피, 동충하초, 정제수",사곡양조장
장수홍삼주,25,750ml,국내산 인삼,경원리큐르
왕율주,25,330ml,"국내산 쌀, 밤, 누룩, 정제수",사곡양조원
화주,25,375ml,"국내산 쌀, 홍삼농축액, 정제수",내국양조
문배술 헤리티지 25도,25,375ml,"메조, 찰수수, 쌀",문배주양조원
추성주,25,350ml,"국내산 쌀, 국내산 한약재",추성고을
담양 죽력고,25,350ml,"정제수, 국내산 쌀, 누룩, 죽력, 계피, 석창포, 생강, 효모",추성고을
귀감,25,350ml,"제주산 감귤과즙, 백설탕, 액상효모, 스테비올배당체, 무수아황산",시트러스
겨울소주 25,25,360ml,"국내산 쌀, 증류원액, 효모, 효소, 정제수",두이술공방
감아락 25,25,500ml,"국내산 쌀, 감증류원액",배상면주가
백제한산군주,25,250ml,"찹쌀, 물, 멥쌀, 주정, 효모, 홍고추, 구절초, 과당, 소금, 스테비아",㈜백제명가주조
문경바람 백자 25,25,750ml,사과,제이엘
필,25,375ml,고구마증류원액(여주산 100%),술아원
려,25,"375ml, 500ml","고구마(여주산 100%), 쌀(여주산 100%)",국순당
모월 로,25,500ml,"쌀(국내산), 누룩, 정제수",
모월로미니,25,150ml,"쌀(국내산), 누룩, 정제수",
설궁,30,700ml,"자연산 송이버섯, 산양산삼, 토종벌꿀",솔래원
톡 한잔 소주,30,500ml,"국내산 보리, 쌀",(농)(유)대마주조
느낌 30,30,360ml,"국내산 백미, 누룩, 효모, 정제수",명품 안동소주
천매,30,600ml,매실,더한주류
죽력고,32,700ml,"국내산쌀, 죽력, 누룩, 정제수",태인합동주조장
두레앙 브랜디,35,750ml,거봉포도원액,두레양조
한비 유자술,35,750ml,"쌀(국내산), 유자(국내산)",제천한약(영)
한비 무병장수술,35,"375ml, 750ml","국내산쌀, 흑삼, 인삼, 오가피, 오미자, 구기자, 복분자, 차전자, 토사자, 산수유",제천한약(영)
한비 동충하초술,35,"375ml, 750ml","국내산 쌀, 누룩, 가시오가피 뿌리, 동충하초, 정제수",제천한약(영)
한비오가피술골드,35,500ml,"국내산 쌀, 국내산 오가피",제천한약(영)
한주,35,360ml,"국내산 쌀, 밀누룩, 정제수",한주양조
한비 오가피술,35,"375ml, 750ml","국내산 쌀, 누룩, 가시오가피 뿌리, 정제수",제천한약영농조합법인
두레앙증류주,35,750ml,거봉포도,두레양조
금휘,35,500ml,"국내산 쌀, 황기, 금나노화된 황금물",용두산조은술(영)
두레앙,35,750ml,국내산 포도,두레양조
백이주,35,800ml,"쌀(국산), 홍마늘액(국산), 감초(국산), 개량누룩(국산), 효모, 정제효소제, 정제수, 밀함유",농업회사법인(주)세찬
예천주 사월365,36.5,375ml,"오미자(국내산)증류원액, 건오미자(국내산)추출액, 정제수",농업회사법인(주)착한농부
송화백일주,38,700ml,"송화, 솔잎, 산수유, 오미자, 구기자",송화양조원
명품홍주,38,375ml,"쌀, 지초",대대로영농조합법인
병영설성사또,40,750ml,"국내산 쌀, 국내산 오디, 국내산 복분자",병영주조장
남한산성소주,40,400ml,"쌀, 엿, 누룩",남한산성소주
"진도홍주, 만홍",40,"400ml, 500ml","국내산 쌀, 국내산 지초",대대로영농조합법인
문배술,40,"500ml, 1000ml","국내산 찰수수, 국내산 메조",문배주양조원
천지향 증류주,40,500ml,국내산 복분자,함평천지복분자(영)
감홍로,40,400ml,국내산 쌀,감홍로
의림소주,40,700ml,국내산 쌀,제천한약(영)
진도홍주 루비콘,40,375ml,"쌀, 누룩, 지초, 정제수",대대로영농조합법인
금과 명주,40,750ml,"사과증류주, 고과당, 사과향, 카라멜",㈜한국애플리즈
예천주복 만월40,40,350ml,"복분자증류원액, 복분자과즙, 정제수",착한농부
진맥 소주,40,200ml,통밀 소주원액,맹개술도가
제주낭만,40,500ml,"쌀, 백도라지",술도가제주바당
키위술,40,500ml,"그린키위, 골드키위",술도가제주바당
담솔,40,"500ml, 750ml","백미(함양산) 90%, 솔잎·송순(함양산) 10%",솔송주(명가원)
오매락퍽,40,500ml,국내산 배증류원액,배상면주가
천비향 화주,40,375ml,"국내산 쌀, 누룩",좋은술
계룡산 산삼주 금수강산 40%,40,740ml,"산양산삼, 정제수, 주정",한국산삼
한비 쌀소주,40,"375ml, 750ml","국내산 쌀, 누룩, 정제수",제천한약영농조합법인
문경바람 오크,40,"750ml, 375ml",사과(문경),오미나라
추사40,40,500ml,사과,예산사과와인
징기스칸,40,375ml,레드와인,고도리 와이너리
로아40 옐로우,40,350ml,"쌀(국산), 배(국산)",배혜정도가
오매락,40,500ml,"배를 증류한 원액, 정제수, 설탕, 매실, 오매(구운 매실)",배상면주가
제주술익는집 고소리술,40,400ml,"잡곡, 누룩, 정제수",제주고소리술익는집
문배술 헤리티지 40도,40,200ml,"메조, 찰수수, 쌀",문배주양조원
계룡백일주 40%,40,600ml,"찹쌀, 백미, 누룩, 재래종국화꽃, 오미자, 진달래, 재래종 솔잎",계룡백일주
감홍로 백자,40,"400ml, 700ml","쌀(70%), 메조(30%), 용안육, 진피, 생강, 정향, 감초, 지초",감홍로
타미앙스,40,500ml,"국내산 쌀, 국내산 한약재",추성고을
막시모 40,40,500ml,"국내산 오미자 증류원액, 국내산 오미자 원액, 정제수",착한농부
고구마 아락,40,500ml,"정제수, 고구마, 보리",배상면주가
예천주복 만월24,40,350ml,"복분자(국내산)증류원액, 복분자(국내산)과즙, 정제수",농업회사법인(주)착한농부
안동소주 일품 40도 골드,40,500ml,"국내산 쌀, 입국",안동소주일품
설레온,40,375ml,"쌀, 누룩, 효모, 정제수",농업회사법인 대윤가야곡주조(주)
샤토미소 영동,40,200ml,포도,도란원
병영소주,40,700ml,"정제수, 보리증류식 소주원액(보리: 국내산)",병영양조장
문경바람 백자 40,40,750ml,사과,제이엘
배도가 로아 40도 옐로우,40,350ml,"국내산 쌀, 국내산 배",배혜정도가
메밀이슬,40,500ml,"메밀(제주산), 입국(국내산), 효모, 정제수",술도가제주바당
커피냑,40,500ml,"커피생두, 백설탕, 효모, 정제수, 클로로겐산",제주커피수목원
로아40 레드,40,350ml,사과소주원액,배혜정도가
복분자아락40,40,500ml,복분자 증류원액,배상면주가
오디아락40,40,500ml,오디증류주원액,배상면주가
녹천 소곡화주 500ml,41,500ml,"찹쌀, 누룩, 백미, 정제수",녹천주조장
녹천 소곡화주 480ml,41,480ml,"찹쌀, 누룩, 백미 , 정제수",녹천주조장
마주 소곡화주,41,500ml,"국내산 찹쌀, 국내산 백미, 모싯잎, 우리밀 누룩, 정제수, 효모",옥순가 소곡주 마주
모월 인,41,500ml,"국내산 쌀, 정제수, 밀누룩",모월
원조 소곡화주,41,300ml,"찹쌀, 멥쌀, 누룩",원조소곡주
예담은 한산소곡화주,41,500ml,"찹쌀, 멥쌀, 누룩, 대두, 구절초",한산예담은소곡주
주향담을,41,500ml,"쌀, 국, 효모, 정제수",농업회사법인 담을
모월인미니,41,150ml,"쌀(국내산), 누룩, 정제수",
유기농 이도 42,42,750ml,"유기농쌀 (100%), 정제수, 증류원액, 국, 조제종국, 효모 등",조은술 세종
소여강,42,375ml,"쌀(경기미), 누룩(국내산), 물(정제수)",추연당
금산인삼백주,43,500ml,"국내산쌀 95.8%, 국내산 인삼 4.2%",㈜금산인삼주
불소곡주,43,700ml,"찹쌀, 국내산 멥쌀",한산소곡주
금산인삼주 수삼 500,43,500ml,"국내산 쌀, 국내산 인삼",㈜금산인삼주
소나무와 학,43,700ml,"국내산 쌀, 황기",용두산조은술(영)
수삼단본 720,43,720ml,"국내산 쌀, 국내산 인삼",㈜금산인삼주
두리향,43,500ml,"국내산 찹쌀, 누룩, 정제수",케이소주
수성 프리미엄 백주43,43,500ml,"수수, 정제수",㈜수성주류
부자진 배치#0001,44,375ml,"캐모마일, 라벤더, 레몬 베버나, 노간주나무 열매, 한라봉, 헛개나무, 솔잎,쑥",㈜부자진농업회사법인
부자진 오미자 진,44,375ml,"솔잎, 쑥, 헛개, 한라봉, 오미자 등",(주)부자진농업회사법인
세우리,45,700ml,"산양삼, 하수오, 구기자, 쌀",제주샘주
명인 안동소주 하회탈,45,800ml,국내산 쌀 100%,명인안동소주
명인 안동소주,45,800ml,국내산 쌀 100%,명인안동소주
안동소주,45,"400ml, 600ml, 800ml",국내산 쌀,민속주안동소주
로얄 안동소주,45,"600ml, 800ml",국내산 쌀,(농)유토피아㈜
명인 안동소주 호리병,45,800ml,"국내산 쌀, 누룩, 정제수",명인안동소주
